customer_id,initial_loan,days_since_loan,ontime_pct,num_increases,total_profit,risk_tier,eligible,remaining_capacity,ontime_norm,loan_norm,risk_score,uptake_prob,uptake_prob_adj,expected_npv,default_rate,avg_increases
10163,4479,22,94.85,0,0,Near-Prime,False,6,0.7424999999999997,0.8959791958391679,0.5509562412482495,0.8159588159588158,0.7506821106821105,0.0,0.0,0.0
6933,1599,69,88.82,3,40,Near-Prime,True,3,0.44099999999999967,0.3198639727945589,0.512740808161632,0.5984156002437535,0.5505423522242533,-121.41253610437433,0.145,1.5533333333333332
2024,2581,48,92.22,0,0,Near-Prime,False,6,0.611,0.5163032606521304,0.5728090218043609,0.7299834345665378,0.6715847598012148,0.0,0.0,0.0
17919,2533,301,94.42,0,0,Near-Prime,True,6,0.7210000000000001,0.5067013402680536,0.6526895979195839,0.8027069234773556,0.7384903695991673,-637.8812683531168,0.4083333333333333,3.5866666666666664
29818,3474,268,89.56,5,120,Near-Prime,True,1,0.4780000000000001,0.6949389877975595,0.4261183036607322,0.629320619785459,0.5789749702026222,-120.69101577621387,0.051666666666666666,0.5366666666666666
10493,1113,274,88.51,4,80,Near-Prime,True,2,0.42550000000000027,0.22264452890578115,0.5310566413282658,0.5850507536142727,0.538246693325131,-70.85723744784701,0.12333333333333334,1.02
3626,1641,237,89.82,4,80,Near-Prime,True,2,0.49099999999999966,0.3282656531306261,0.5452203040608119,0.6398580721466585,0.5886694263749258,-96.69179674485343,0.10666666666666667,1.0916666666666666
30151,3121,266,94.39,4,80,Near-Prime,True,2,0.7195,0.6243248649729946,0.6163525405081016,0.8017712946079708,0.7376295910393331,-335.9068379100677,0.16,1.4
23456,1201,257,89.61,3,40,Near-Prime,True,3,0.4805,0.240248049609922,0.5642755851170234,0.631359714370723,0.5808509372210652,-133.70610245882298,0.205,1.6
30080,2139,239,90.63,0,0,Near-Prime,True,6,0.5314999999999998,0.4278855771154231,0.5436843268653729,0.6716719607276925,0.6179382038694772,-429.85759153780793,0.34,3.1366666666666667
6451,4772,19,91.9,0,0,Near-Prime,False,6,0.5950000000000003,0.9545909181836367,0.4301227245449092,0.7186629526462398,0.6611699164345406,0.0,0.0,0.0
9330,1392,107,93.56,0,0,Near-Prime,True,6,0.6780000000000002,0.27845569113822766,0.6910632926585318,0.7752928647497338,0.7132694355697551,-251.2165309271893,0.3616666666666667,3.5616666666666665
9871,1315,8,93.0,3,40,Near-Prime,False,3,0.65,0.26305261052210444,0.6760842168433686,0.7567567567567568,0.6962162162162163,0.0,0.0,0.0
14519,2065,99,88.04,3,40,Near-Prime,True,3,0.4020000000000003,0.41308261652330464,0.4574752150430088,0.5642946317103623,0.5191510611735334,-159.87220752859164,0.135,1.48
15827,2070,81,92.84,0,0,Near-Prime,True,6,0.6420000000000001,0.41408281656331264,0.6251751550310063,0.7513572204125951,0.6912486427795875,-469.19347317035164,0.38333333333333336,3.401666666666667
19108,2575,184,93.27,3,40,Near-Prime,True,3,0.6634999999999998,0.5151030206041208,0.6099190938187635,0.7657633485376978,0.704502280654682,-344.57589594747714,0.21,1.9366666666666668
24363,2159,12,89.13,5,120,Near-Prime,False,1,0.4564999999999998,0.4318863772754551,0.4899840868173633,0.6115303350437667,0.5626079082402654,0.0,0.0,0.0
12660,2840,226,94.83,0,0,Near-Prime,True,6,0.7414999999999999,0.5681136227245449,0.6486159131826364,0.8153489569920165,0.7501210404326552,-793.5533630458407,0.43666666666666665,3.5516666666666667
